id,dataset
0,Listado de resursos de sensores_smart_traffic_intensity.csv
1,datos-meteorologicos-diarios-santa_cruz-2021.csv
2,datos-meteorologicos-diezminutales-silos-2019.csv
3,datos-meteorologicos-diezminutales-picacho_ma-2017.csv
4,datos-meteorologicos-diarios-vilaflor-2015.csv
5,open_data historic_air_quality_sensor_raw_observations_2020_01.csv
6,datos-meteorologicos-diarios-anavisth-2023.csv
7,datos-meteorologicos-diarios-ursulath-2013.csv
8,datos-meteorologicos-diezminutales-topo_ma-2021.csv
9,dades-diaries-del-sensor-de-soroll-ubicat-al-barri-de-russafa-en-el-carrer-carl0.csv
